Day_of_the_year,Latitude,Longitude,Month,Year,Max_Temperature,Avg_Temperature,Min_Temperature,GDD,Peak_Bloom_Day,Days to go for Peak Bloom
1,35.012,135.6761,1,2004,45,40.9,39,8.9,92,92
37,35.012,135.6761,2,2004,43,36.6,27,4.6,92,56
38,35.012,135.6761,2,2004,45,37.2,27,5.2,92,55
40,35.012,135.6761,2,2004,46,40.3,32,8.3,92,53
42,35.012,135.6761,2,2004,52,41.3,28,9.3,92,51
43,35.012,135.6761,2,2004,55,45.2,34,13.2,92,50
46,35.012,135.6761,2,2004,50,44.6,39,12.6,92,47
47,35.012,135.6761,2,2004,50,43.4,36,11.4,92,46
48,35.012,135.6761,2,2004,52,41.8,32,9.8,92,45
49,35.012,135.6761,2,2004,55,45.4,30,13.4,92,44
51,35.012,135.6761,2,2004,66,52.2,36,20.2,92,42
54,35.012,135.6761,2,2004,55,46.9,41,14.9,92,39
59,35.012,135.6761,2,2004,55,46.6,34,14.6,92,34
60,35.012,135.6761,2,2004,57,50,45,18,92,33
4,35.012,135.6761,1,2005,54,46.8,39,14.8,99,96
7,35.012,135.6761,1,2005,54,45.3,41,13.3,99,93
8,35.012,135.6761,1,2005,46,40.5,34,8.5,99,92
11,35.012,135.6761,1,2005,46,39.8,30,7.8,99,89
12,35.012,135.6761,1,2005,43,38.8,32,6.8,99,88
13,35.012,135.6761,1,2005,48,41.5,34,9.5,99,87
14,35.012,135.6761,1,2005,50,42.9,34,10.9,99,86
17,35.012,135.6761,1,2005,50,42.7,37,10.7,99,83
23,35.012,135.6761,1,2005,46,41.1,37,9.1,99,77
27,35.012,135.6761,1,2005,45,40,32,8,99,73
29,35.012,135.6761,1,2005,59,48.5,32,16.5,99,71
40,35.012,135.6761,2,2005,59,46.5,36,14.5,99,60
41,35.012,135.6761,2,2005,48,46.2,41,14.2,99,59
42,35.012,135.6761,2,2005,46,40.4,34,8.4,99,58
49,35.012,135.6761,2,2005,50,45.2,39,13.2,99,51
